name,rank,rate,matches,hero
rebirth666,World Rank 2,Win Rate 76.07%,2532 Matches,miya
ĸɢˢ • яσԍuε,World Rank 3,Win Rate 69.7%,1208 Matches,miya
•ZHI£ND•280517,World Rank 4,Win Rate 58.14%,1868 Matches,miya
Bựa.,World Rank 5,Win Rate 56.61%,1558 Matches,miya
General • Emir☆,World Rank 2,Win Rate 60.22%,910 Matches,balmond
NOOBMICK,World Rank 3,Win Rate 58.83%,821 Matches,balmond
ˢᵖ | Tнаnоѕ,World Rank 4,Win Rate 56.54%,2257 Matches,balmond
Bondan Kharisma,World Rank 5,Win Rate 59.14%,421 Matches,balmond
r̶e̶i̶g̶a̶Hanz,World Rank 2,Win Rate 75.23%,973 Matches,saber
Anseℓ,World Rank 3,Win Rate 86.74%,1418 Matches,saber
Winneяʑ  荣誉°,World Rank 4,Win Rate 92.87%,1094 Matches,saber
ᶰᵛ ᴋïᴅ,World Rank 5,Win Rate 89.45%,398 Matches,saber
Bosku_No1_Indonesia,World Rank 2,Win Rate 80.94%,855 Matches,alice
H Camp,World Rank 3,Win Rate 78.51%,3495 Matches,alice
★₉•sʜᴏ,World Rank 4,Win Rate 80.5%,1036 Matches,alice
LittlePrince,World Rank 5,Win Rate 74.02%,589 Matches,alice
ᴴᵉˡˡᵒAdƹŁ-,World Rank 2,Win Rate 55.54%,1318 Matches,nana
Warvin,World Rank 3,Win Rate 56.2%,2137 Matches,nana
Hippocrite,World Rank 4,Win Rate 54.55%,1133 Matches,nana
Malangyow,World Rank 5,Win Rate 54.21%,2920 Matches,nana
ϯσxɪᴄ | izϻᴀ,World Rank 2,Win Rate 59.41%,1153 Matches,tigreal
UniverusG2A.DOTA2.Re,World Rank 3,Win Rate 56.35%,1528 Matches,tigreal
GNT-00Q,World Rank 4,Win Rate 55.5%,2782 Matches,tigreal
Elbero,World Rank 5,Win Rate 57.88%,1237 Matches,tigreal
VALVOGA,World Rank 2,Win Rate 67.49%,975 Matches,alucard
Daиiel Padilla,World Rank 3,Win Rate 69.41%,1883 Matches,alucard
◤void◢ xєиσz,World Rank 4,Win Rate 68.56%,811 Matches,alucard
=>hαlαkhῖtα<=,World Rank 5,Win Rate 60.47%,3997 Matches,alucard
Shardul Magar,World Rank 2,Win Rate 66.69%,1684 Matches,karina
ϾᴌϵanᏕȼhɨƶo,World Rank 3,Win Rate 66.56%,1226 Matches,karina
ᴷᴵᴺᴳ'ˢ|Jer,World Rank 4,Win Rate 64.85%,1650 Matches,karina
Ƭơɱαɧαωκ,World Rank 5,Win Rate 68.01%,2010 Matches,karina
Olala.Olele,World Rank 2,Win Rate 69.28%,1351 Matches,akai
EVOS•Donkey BARBAR,World Rank 3,Win Rate 80.38%,1646 Matches,akai
ᶰᵛ ᴋïᴅ,World Rank 4,Win Rate 89.45%,398 Matches,akai
Lᴅυcκɪεεε,World Rank 5,Win Rate 66.57%,1325 Matches,akai
Shardul Magar,World Rank 2,Win Rate 66.69%,1684 Matches,franco
「 Ꭾoseidon 」,World Rank 3,Win Rate 65.38%,3186 Matches,franco
